type,x_world,y_world,cell_i,cell_j,poincare_index
wedge,34.5,11.5,34,11,1.0
wedge,34.5,11.5,34,11,1.0
wedge,81.5,13.5,81,13,1.0
wedge,81.5,13.5,81,13,1.0
wedge,94.5,13.5,94,13,1.0
wedge,94.5,13.5,94,13,1.0
wedge,59.5,16.5,59,16,1.0
wedge,59.5,16.5,59,16,1.0
wedge,48.5,24.5,48,24,1.0
wedge,48.5,24.5,48,24,1.0
wedge,48.5,25.5,48,25,0.9999999999999999
wedge,48.5,25.5,48,25,0.9999999999999999
wedge,57.5,32.5,57,32,1.0
wedge,57.5,32.5,57,32,1.0
wedge,15.5,33.5,15,33,1.0
wedge,15.5,33.5,15,33,1.0
wedge,32.5,35.5,32,35,1.0
wedge,32.5,35.5,32,35,1.0
wedge,37.5,36.5,37,36,1.0000000000000002
wedge,37.5,36.5,37,36,1.0000000000000002
wedge,72.5,36.5,72,36,1.0
wedge,72.5,36.5,72,36,1.0
wedge,44.5,45.5,44,45,1.0
wedge,44.5,45.5,44,45,1.0
wedge,28.5,49.5,28,49,1.0
wedge,28.5,49.5,28,49,1.0
wedge,57.5,52.5,57,52,1.0
wedge,57.5,52.5,57,52,1.0
wedge,12.5,53.5,12,53,1.0
wedge,12.5,53.5,12,53,1.0
wedge,41.5,58.5,41,58,1.0
wedge,41.5,58.5,41,58,1.0
wedge,70.5,60.5,70,60,1.0
wedge,70.5,60.5,70,60,1.0
wedge,86.5,60.5,86,60,1.0000000000000002
wedge,86.5,60.5,86,60,1.0000000000000002
wedge,90.5,61.5,90,61,1.0
wedge,90.5,61.5,90,61,1.0
wedge,5.5,62.5,5,62,1.0
wedge,5.5,62.5,5,62,1.0
wedge,62.5,62.5,62,62,1.0
wedge,62.5,62.5,62,62,1.0
wedge,89.5,63.5,89,63,1.0
wedge,89.5,63.5,89,63,1.0
wedge,52.5,64.5,52,64,1.0
wedge,52.5,64.5,52,64,1.0
wedge,64.5,64.5,64,64,1.0
wedge,64.5,64.5,64,64,1.0
wedge,40.5,66.5,40,66,1.0
wedge,40.5,66.5,40,66,1.0
wedge,68.5,66.5,68,66,1.0
wedge,68.5,66.5,68,66,1.0
wedge,15.5,69.5,15,69,1.0
wedge,15.5,69.5,15,69,1.0
wedge,65.5,69.5,65,69,1.0000000000000002
wedge,65.5,69.5,65,69,1.0000000000000002
wedge,95.5,70.5,95,70,1.0
wedge,95.5,70.5,95,70,1.0
wedge,80.5,71.5,80,71,1.0
wedge,80.5,71.5,80,71,1.0
wedge,95.5,71.5,95,71,1.0
wedge,95.5,71.5,95,71,1.0
wedge,65.5,72.5,65,72,1.0000000000000002
wedge,65.5,72.5,65,72,1.0000000000000002
wedge,14.5,73.5,14,73,1.0
wedge,14.5,73.5,14,73,1.0
wedge,47.5,77.5,47,77,1.0000000000000002
wedge,47.5,77.5,47,77,1.0000000000000002
wedge,67.5,77.5,67,77,1.0
wedge,67.5,77.5,67,77,1.0
wedge,78.5,77.5,78,77,1.0
wedge,78.5,77.5,78,77,1.0
wedge,21.5,81.5,21,81,1.0000000000000002
wedge,21.5,81.5,21,81,1.0000000000000002
wedge,12.5,85.5,12,85,1.0
wedge,12.5,85.5,12,85,1.0
wedge,96.5,87.5,96,87,1.0
wedge,96.5,87.5,96,87,1.0
wedge,47.5,88.5,47,88,1.0
wedge,47.5,88.5,47,88,1.0
wedge,92.5,91.5,92,91,1.0
wedge,92.5,91.5,92,91,1.0
wedge,20.5,92.5,20,92,1.0000000000000002
wedge,20.5,92.5,20,92,1.0000000000000002
wedge,33.5,94.5,33,94,1.0
wedge,33.5,94.5,33,94,1.0
wedge,52.5,94.5,52,94,1.0
wedge,52.5,94.5,52,94,1.0
wedge,21.5,95.5,21,95,1.0
wedge,21.5,95.5,21,95,1.0
wedge,73.5,97.5,73,97,1.0
wedge,73.5,97.5,73,97,1.0
wedge,79.5,98.5,79,98,1.0
wedge,79.5,98.5,79,98,1.0
trisector,12.5,0.5,12,0,-1.0
trisector,12.5,0.5,12,0,-1.0
trisector,34.5,12.5,34,12,-1.0
trisector,34.5,12.5,34,12,-1.0
trisector,94.5,15.5,94,15,-1.0
trisector,94.5,15.5,94,15,-1.0
trisector,67.5,19.5,67,19,-1.0
trisector,67.5,19.5,67,19,-1.0
trisector,51.5,20.5,51,20,-1.0
trisector,51.5,20.5,51,20,-1.0
trisector,14.5,31.5,14,31,-1.0
trisector,14.5,31.5,14,31,-1.0
trisector,44.5,32.5,44,32,-1.0
