x,y,type
12.609643,0.0791397245,trisector
34.255814,11.372093,wedge
34.4210526,12.2842105,trisector
81.2630038,13.544472,wedge
94.0831461,13.5640449,wedge
94.9700855,15.6495726,trisector
59.967033,16.0769231,wedge
60.1111111,16.1111111,wedge
67.4551943,19.2299762,trisector
51.0645161,20.1935484,trisector
48.5714286,25,wedge
14.0640488,31.5913077,trisector
44.4516129,32.7741935,trisector
57.5246637,32.4439462,wedge
15.0093745,33.2750906,wedge
2.88181818,34.4944664,trisector
34.4759036,34.753012,trisector
32.640625,35.41875,wedge
37.25,36.7794118,wedge
56.7980535,36.7055961,trisector
72.9459844,36.6325515,wedge
62.8893146,42.5730098,trisector
44.3376471,45.14,wedge
82.2316176,45.5147059,trisector
32.8253968,48.6666667,trisector
28.1954023,49.045977,wedge
40.3137546,51.0736059,trisector
57.8185841,52.2610619,wedge
12.0679012,53.5092593,wedge
67.0652174,53.6195652,trisector
7.12358049,56.9298597,trisector
45.1411483,56.6842105,trisector
44.4189189,57.3243243,wedge
44.3176471,57.4,trisector
41.8,58.2666667,wedge
62.0767045,60.8295455,trisector
70.2181818,60.5454545,wedge
87,60.4,wedge
90.7272727,61.8181818,wedge
5.15,62.25,wedge
10.5328947,62.6513158,trisector
62.7957839,62.3491436,wedge
63.0945699,62.4423429,trisector
90.7578947,62.0842105,trisector
71.0904255,63.2819149,trisector
88.2213115,63.795082,trisector
89.2298851,63.4827586,wedge
20.2774194,64.4387097,trisector
52.066879,64.4171975,wedge
58.1303489,64.2574062,trisector
64.7891514,64.0586177,wedge
40.1869688,66.325779,wedge
68.9279279,66.8378378,wedge
65.265,68.945,trisector
71.3955224,68.5870647,trisector
15.2151163,69.7325581,wedge
37.452381,69.9571429,trisector
65.2593458,69.0257009,wedge
15.0645161,70.7419355,trisector
65.693609,70.2988722,trisector
95.6111111,71,wedge
80.615,71.735,wedge
65.9519451,72.6315789,wedge
14.3726872,73.6563877,wedge
75.8252033,74.9817073,trisector
42.0833995,77.8951549,trisector
47.0951518,77.8237426,wedge
67.4042553,77.9308511,wedge
78.1428571,77.8857143,wedge
71.1539792,79.9913495,trisector
21.4102564,81.8205128,wedge
9.73809524,82.4642857,trisector
9.35897436,82.9487179,wedge
9.32727273,83.0099174,trisector
87.9683835,83.9398266,trisector
12.8108787,85.2719665,wedge
51.9354839,86.3991935,trisector
97.8053571,86.4017857,trisector
91.9699812,87.4108818,trisector
96.611399,87.4067358,wedge
47.6956522,88.9652174,wedge
61.5616197,88.5211268,trisector
92.0860656,91.6434426,wedge
20.8370221,92.7887324,wedge
58.3961649,92.5604986,trisector
91.9918919,92.2189189,trisector
21.6981132,94.5849057,trisector
21.7142857,95,wedge
33.0731707,94.5609756,wedge
52.5137615,94.4862385,wedge
32.8701299,95.2121212,trisector
73.7347243,97.1132638,wedge
75.9754386,97.677193,trisector
79.6054422,98.0408163,wedge
