id,x,y,z,scalar,critical_type,type_name
0,2.0,0.0,0.0,0.3895715172425438,2,2-saddle
1,68.0,0.0,0.0,0.3895715172425438,2,2-saddle
2,3.0,3.0,0.0,0.7038727603347877,3,Maximum
3,68.0,3.0,0.0,0.6821994807493139,3,Maximum
4,62.0,5.0,0.0,0.0,0,Minimum
5,63.0,21.0,0.0,0.4067917173591818,2,2-saddle
6,64.0,21.0,0.0,0.406660379717454,1,1-saddle
7,29.0,30.0,0.0,0.37594444438553365,1,1-saddle
8,68.0,48.0,0.0,0.4098322669988162,1,1-saddle
9,5.0,62.0,0.0,0.0,0,Minimum
10,21.0,63.0,0.0,0.4067917181358379,2,2-saddle
11,63.0,63.0,0.0,0.556522480076616,2,2-saddle
12,68.0,63.0,0.0,0.18700219069334217,0,Minimum
13,21.0,65.0,0.0,0.4067438159003918,1,1-saddle
14,2.0,66.0,0.0,0.3895715172425438,2,2-saddle
15,66.0,66.0,0.0,0.3479679406462974,1,1-saddle
16,68.0,66.0,0.0,0.3895715172425438,2,2-saddle
17,3.0,68.0,0.0,0.6821994807493139,3,Maximum
18,48.0,68.0,0.0,0.4098322669988162,1,1-saddle
19,63.0,68.0,0.0,0.18700219069334217,0,Minimum
20,68.0,68.0,0.0,0.6327819798852963,3,Maximum
21,0.0,1.0,1.0,0.3926594266333072,2,2-saddle
22,1.0,1.0,1.0,0.3815048698818533,4,Multi-saddle
23,2.0,1.0,1.0,0.39691630809870543,2,2-saddle
24,66.0,1.0,1.0,0.3926594266333072,2,2-saddle
25,67.0,1.0,1.0,0.3815048698818533,4,Multi-saddle
26,68.0,1.0,1.0,0.39691630809870543,2,2-saddle
27,65.0,20.0,1.0,0.40669436254863744,1,1-saddle
28,64.0,21.0,1.0,0.40685798279131746,2,2-saddle
29,0.0,67.0,1.0,0.3926594266333072,2,2-saddle
30,1.0,67.0,1.0,0.3815048698818533,4,Multi-saddle
31,2.0,67.0,1.0,0.39691630809870543,2,2-saddle
32,66.0,67.0,1.0,0.3926594266333072,2,2-saddle
33,67.0,67.0,1.0,0.3815048698818533,4,Multi-saddle
34,68.0,67.0,1.0,0.39691630809870543,2,2-saddle
35,19.0,0.0,2.0,0.406749965348752,1,1-saddle
36,0.0,2.0,2.0,0.3840127995930369,2,2-saddle
37,1.0,2.0,2.0,0.3571185991634793,1,1-saddle
38,2.0,2.0,2.0,0.3588449264082181,2,2-saddle
39,66.0,2.0,2.0,0.3840127995930369,2,2-saddle
40,67.0,2.0,2.0,0.3571185991634793,1,1-saddle
41,68.0,2.0,2.0,0.3588449264082181,2,2-saddle
42,0.0,18.0,2.0,0.406909883550994,2,2-saddle
43,66.0,18.0,2.0,0.406909883550994,2,2-saddle
44,65.0,19.0,2.0,0.40674381514862856,1,1-saddle
45,65.0,20.0,2.0,0.4069227099664661,2,2-saddle
46,0.0,68.0,2.0,0.3840127995930369,2,2-saddle
47,1.0,68.0,2.0,0.3571185991634793,1,1-saddle
48,2.0,68.0,2.0,0.3588449264082181,2,2-saddle
49,66.0,68.0,2.0,0.3840127995930369,2,2-saddle
50,68.0,68.0,2.0,0.3588449264082181,2,2-saddle
51,5.0,0.0,3.0,0.19963701474821055,0,Minimum
52,17.0,1.0,3.0,0.4068587104682818,2,2-saddle
53,3.0,2.0,3.0,0.30813417766288903,1,1-saddle
54,4.0,2.0,3.0,0.3125071219761119,2,2-saddle
55,2.0,3.0,3.0,0.30813417766288903,1,1-saddle
56,0.0,5.0,3.0,0.19963701474821055,0,Minimum
57,1.0,17.0,3.0,0.4068587098210684,2,2-saddle
58,2.0,17.0,3.0,0.4066261037536745,1,1-saddle
59,67.0,17.0,3.0,0.4068587098210684,2,2-saddle
60,68.0,17.0,3.0,0.4066261037536745,1,1-saddle
61,0.0,18.0,3.0,0.4066919097669771,1,1-saddle
62,66.0,18.0,3.0,0.4066919097669771,1,1-saddle
63,17.0,67.0,3.0,0.4068587104682818,2,2-saddle
64,3.0,68.0,3.0,0.30813417766288903,1,1-saddle
65,4.0,68.0,3.0,0.3125071219761119,2,2-saddle
66,65.0,0.0,4.0,1.0,3,Maximum
67,2.0,3.0,4.0,0.31309459069141715,2,2-saddle
68,3.0,3.0,4.0,0.29471581388250456,1,1-saddle
69,4.0,3.0,4.0,0.30593625528555646,2,2-saddle
70,16.0,3.0,4.0,0.40674867594033975,1,1-saddle
71,68.0,4.0,4.0,0.2807645917004232,1,1-saddle
72,3.0,15.0,4.0,0.4069467210858501,2,2-saddle
73,3.0,16.0,4.0,0.4067486753827405,1,1-saddle
74,2.0,17.0,4.0,0.4069459478749336,2,2-saddle
75,68.0,17.0,4.0,0.4069459478749336,2,2-saddle
76,0.0,65.0,4.0,1.0,3,Maximum
77,65.0,66.0,4.0,1.0,3,Maximum
78,4.0,68.0,4.0,0.2807645917004232,1,1-saddle
79,5.0,68.0,4.0,0.2881894327778851,2,2-saddle
80,16.0,68.0,4.0,0.40677645914389887,1,1-saddle
81,0.0,0.0,5.0,0.9692967276472318,3,Maximum
82,2.0,4.0,5.0,0.30379139341457534,2,2-saddle
83,3.0,4.0,5.0,0.29931090063459714,4,Multi-saddle
84,15.0,4.0,5.0,0.40691333497079946,2,2-saddle
85,13.0,5.0,5.0,0.4069522944893891,2,2-saddle
86,14.0,5.0,5.0,0.4067301540792845,1,1-saddle
87,5.0,13.0,5.0,0.4069522941110182,2,2-saddle
88,5.0,14.0,5.0,0.4067301536710422,1,1-saddle
89,3.0,15.0,5.0,0.4066604245245357,1,1-saddle
90,4.0,15.0,5.0,0.4069133344928572,2,2-saddle
91,68.0,64.0,5.0,0.8221217285506064,2,2-saddle
92,5.0,68.0,5.0,0.2863083134353036,1,1-saddle
93,64.0,68.0,5.0,0.8221217285506064,2,2-saddle
94,12.0,6.0,6.0,0.40674071890460284,1,1-saddle
95,12.0,7.0,6.0,0.40684536266764965,2,2-saddle
