critical_type,cell_dimension,scalar_value,x,y,z
minimum,0,0.0,62.0,5.0,0.0
minimum,0,0.0,5.0,62.0,0.0
minimum,0,0.18700219069334217,68.0,63.0,0.0
minimum,0,0.18700219069334217,63.0,68.0,0.0
minimum,0,0.19963701474821055,5.0,0.0,3.0
minimum,0,0.19963701474821055,0.0,5.0,3.0
minimum,0,0.2704738613178631,51.0,51.0,34.0
minimum,0,0.33165156984463345,38.0,29.0,57.0
minimum,0,0.33165156474658325,29.0,38.0,57.0
minimum,0,0.3138059828106799,18.0,18.0,90.0
minimum,0,0.11880832628239005,68.0,62.0,110.0
minimum,0,0.11880832628239005,62.0,68.0,110.0
minimum,0,0.0,62.0,5.0,112.0
minimum,0,0.0,5.0,62.0,112.0
minimum,0,0.2362847257766961,4.0,0.0,114.0
minimum,0,0.2362847257766961,0.0,4.0,114.0
1-saddle,1,0.4098322669988162,47.5,68.0,0.0
1-saddle,1,0.37128937652396016,31.5,19.0,104.0
1-saddle,1,0.4070042637939435,16.5,0.0,114.0
1-saddle,1,0.4098322669988162,68.0,47.5,0.0
1-saddle,1,0.4070042630770302,0.0,16.5,114.0
1-saddle,1,0.5685189976597095,68.0,68.0,7.5
1-saddle,1,0.41828082873536787,0.0,50.0,79.5
1-saddle,1,0.6092630226021444,0.0,0.0,106.5
1-saddle,1,0.37594444438553365,29.5,29.5,0.0
1-saddle,1,0.3479679406462974,65.5,66.5,0.0
1-saddle,1,0.3815048698818533,67.5,0.5,1.0
1-saddle,1,0.3815048698818533,0.5,1.5,1.0
1-saddle,1,0.3815048698818533,0.5,67.5,1.0
1-saddle,1,0.3815048698818533,66.5,67.5,1.0
1-saddle,1,0.3571185991634793,1.5,1.5,2.0
1-saddle,1,0.3571185991634793,67.5,1.5,2.0
1-saddle,1,0.30813417766288903,2.5,2.5,3.0
1-saddle,1,0.29471581388250456,2.5,3.5,4.0
1-saddle,1,0.29931090063459714,3.5,3.5,5.0
1-saddle,1,0.38463710936802203,30.5,30.5,54.0
