"Coordinates:0","Coordinates:1","Coordinates:2","CriticalType","ttkVertexScalarField","Points:0","Points:1","Points:2"
62,5,0,0,407,0,0,0
65,66,4,3,23663,0,1,0
5,62,0,0,4283,0,0,0
29,30,0,1,2099,0,0.37594,0
62,5,112,0,533639,0,0,0
64,21,112,1,534745,0,0.40666,0
5,62,112,0,537515,0,0,0
32,19,104,1,496487,0,0.37129,0
68,62,110,0,528056,0.11881,0.11881,0
2,17,3,1,15458,0.11881,0.40663,0
62,68,110,0,528464,0.11881,0.11881,0
64,65,109,1,523498,0.11881,0.23123,0
68,63,0,0,4415,0.187,0.187,0
68,48,0,1,3380,0.187,0.40983,0
63,68,0,0,4755,0.187,0.187,0
66,66,0,1,4620,0.187,0.34797,0
5,0,3,0,14288,0.19964,0.19964,0
13,5,22,1,105100,0.19964,0.40662,0
0,5,3,0,14628,0.19964,0.19964,0
3,3,4,1,19254,0.19964,0.29472,0
4,0,114,0,542758,0.23628,0.23628,0
0,17,114,1,543927,0.23628,0.407,0
0,4,114,0,543030,0.23628,0.23628,0
1,2,114,1,542893,0.23628,0.35712,0
51,51,34,0,165444,0.27047,0.27047,0
43,42,22,1,107683,0.27047,0.40662,0
18,18,90,0,429750,0.31381,0.31381,0
19,31,104,1,497302,0.31381,0.37127,0
29,38,57,0,274028,0.33165,0.33165,0
17,68,83,1,399872,0.33165,0.40662,0
38,29,57,0,273416,0.33165,0.33165,0
31,32,55,1,264094,0.33165,0.38356,0
0,65,5,2,28290,0.41631,0.41631,0
34,34,52,3,249952,0.41631,0.49757,0
0,33,75,2,359352,0.42645,0.42645,0
18,19,81,3,386970,0.42645,0.54375,0
28,28,69,2,330469,0.43932,0.43932,0
33,33,61,3,292731,0.43932,0.50606,0
55,55,19,2,94309,0.45823,0.45823,0
51,51,25,3,122595,0.45823,0.50076,0
0,3,109,2,519156,0.77528,0.77528,0
2,2,109,3,519089,0.77528,0.87229,0
64,68,5,2,28561,0.82212,0.82212,0
65,66,4,3,23663,0.82212,1,0
