"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Points:0","Points:1","Points:2"
407,0,62,5,0,0,0,0
23663,3,65,66,4,0,1,0
4283,0,5,62,0,0,0,0
2099,1,29,30,0,0,0.37594,0
533639,0,62,5,112,0,0,0
534745,1,64,21,112,0,0.40666,0
537515,0,5,62,112,0,0,0
496487,1,32,19,104,0,0.37129,0
528056,0,68,62,110,0.11881,0.11881,0
15458,1,2,17,3,0.11881,0.40663,0
528464,0,62,68,110,0.11881,0.11881,0
523498,1,64,65,109,0.11881,0.23123,0
4415,0,68,63,0,0.187,0.187,0
3380,1,68,48,0,0.187,0.40983,0
4755,0,63,68,0,0.187,0.187,0
4620,1,66,66,0,0.187,0.34797,0
14288,0,5,0,3,0.19964,0.19964,0
105100,1,13,5,22,0.19964,0.40662,0
14628,0,0,5,3,0.19964,0.19964,0
19254,1,3,3,4,0.19964,0.29472,0
542758,0,4,0,114,0.23628,0.23628,0
543927,1,0,17,114,0.23628,0.407,0
543030,0,0,4,114,0.23628,0.23628,0
542893,1,1,2,114,0.23628,0.35712,0
165444,0,51,51,34,0.27047,0.27047,0
107683,1,43,42,22,0.27047,0.40662,0
533090,1,65,66,111,0.27566,0.27566,0
528261,2,66,65,110,0.27566,0.2865,0
24084,1,3,4,5,0.29931,0.29931,0
19255,2,4,3,4,0.29931,0.30594,0
24084,1,3,4,5,0.29931,0.29931,0
24083,2,2,4,5,0.29931,0.30379,0
14424,1,3,2,3,0.30813,0.30813,0
14425,2,4,2,3,0.30813,0.31251,0
14492,1,2,3,3,0.30813,0.30813,0
19253,2,2,3,4,0.30813,0.31309,0
429750,0,18,18,90,0.31381,0.31381,0
497302,1,19,31,104,0.31381,0.37127,0
274028,0,29,38,57,0.33165,0.33165,0
399872,1,17,68,83,0.33165,0.40662,0
273416,0,38,29,57,0.33165,0.33165,0
264094,1,31,32,55,0.33165,0.38356,0
9661,1,1,2,2,0.35712,0.35712,0
9662,2,2,2,2,0.35712,0.35884,0
9727,1,67,2,2,0.35712,0.35712,0
9728,2,68,2,2,0.35712,0.35884,0
492540,1,18,31,103,0.37133,0.37133,0
497301,2,18,31,104,0.37133,0.37137,0
502064,1,20,31,105,0.37138,0.37138,0
497303,2,20,31,104,0.37138,0.37141,0
4831,1,1,1,1,0.3815,0.3815,0
4830,2,0,1,1,0.3815,0.39266,0
4831,1,1,1,1,0.3815,0.3815,0
4832,2,2,1,1,0.3815,0.39692,0
4831,1,1,1,1,0.3815,0.3815,0
9660,2,0,2,2,0.3815,0.38401,0
4897,1,67,1,1,0.3815,0.3815,0
4898,2,68,1,1,0.3815,0.39692,0
4897,1,67,1,1,0.3815,0.3815,0
4896,2,66,1,1,0.3815,0.39266,0
4897,1,67,1,1,0.3815,0.3815,0
9726,2,66,2,2,0.3815,0.38401,0
9385,1,1,67,1,0.3815,0.3815,0
4556,2,2,66,0,0.3815,0.38957,0
9385,1,1,67,1,0.3815,0.3815,0
9386,2,2,67,1,0.3815,0.39692,0
9385,1,1,67,1,0.3815,0.3815,0
9384,2,0,67,1,0.3815,0.39266,0
9451,1,67,67,1,0.3815,0.3815,0
4622,2,68,66,0,0.3815,0.38957,0
9451,1,67,67,1,0.3815,0.3815,0
9450,2,66,67,1,0.3815,0.39266,0
9451,1,67,67,1,0.3815,0.3815,0
9452,2,68,67,1,0.3815,0.39692,0
538063,1,1,1,113,0.3815,0.3815,0
542892,2,0,2,114,0.3815,0.38401,0
538063,1,1,1,113,0.3815,0.3815,0
542824,2,1,1,114,0.3815,0.39692,0
538063,1,1,1,113,0.3815,0.3815,0
538062,2,0,1,113,0.3815,0.39266,0
538129,1,67,1,113,0.3815,0.3815,0
542958,2,66,2,114,0.3815,0.38401,0
538129,1,67,1,113,0.3815,0.3815,0
538130,2,68,1,113,0.3815,0.39692,0
538129,1,67,1,113,0.3815,0.3815,0
538128,2,66,1,113,0.3815,0.39266,0
542617,1,1,67,113,0.3815,0.3815,0
537788,2,2,66,112,0.3815,0.38957,0
542617,1,1,67,113,0.3815,0.3815,0
542616,2,0,67,113,0.3815,0.39266,0
542617,1,1,67,113,0.3815,0.3815,0
542618,2,2,67,113,0.3815,0.39692,0
542683,1,67,67,113,0.3815,0.3815,0
537854,2,68,66,112,0.3815,0.38957,0
542683,1,67,67,113,0.3815,0.3815,0
542682,2,66,67,113,0.3815,0.39266,0
542683,1,67,67,113,0.3815,0.3815,0
542684,2,68,67,113,0.3815,0.39692,0
259263,1,30,31,54,0.38464,0.38464,0
264025,2,31,31,55,0.38464,0.38568,0
268857,1,33,32,56,0.39169,0.39169,0
268856,2,32,32,56,0.39169,0.39275,0
283488,1,36,37,59,0.39261,0.39261,0
268927,2,34,33,56,0.39261,0.40403,0
288250,1,37,37,60,0.39477,0.39477,0
283489,2,37,37,59,0.39477,0.39535,0
278657,1,35,36,58,0.39538,0.39538,0
278658,2,36,36,58,0.39538,0.39732,0
273688,1,34,33,57,0.40247,0.40247,0
273757,2,34,34,57,0.40247,0.4039,0
273826,1,34,35,57,0.40299,0.40299,0
278587,2,34,35,58,0.40299,0.40374,0
395862,1,9,10,83,0.40659,0.40659,0
391033,2,10,9,82,0.40659,0.40673,0
395726,1,11,8,83,0.40659,0.40659,0
395725,2,10,8,83,0.40659,0.40673,0
395930,1,8,11,83,0.40659,0.40659,0
395861,2,8,10,83,0.40659,0.40673,0
395658,1,12,7,83,0.40659,0.40659,0
395657,2,11,7,83,0.40659,0.40672,0
395998,1,7,12,83,0.40659,0.40659,0
395929,2,7,11,83,0.40659,0.40672,0
395590,1,13,6,83,0.4066,0.4066,0
395589,2,12,6,83,0.4066,0.40672,0
396066,1,6,13,83,0.4066,0.4066,0
395997,2,6,12,83,0.4066,0.40672,0
395522,1,14,5,83,0.4066,0.4066,0
395521,2,13,5,83,0.4066,0.40671,0
396134,1,5,14,83,0.4066,0.4066,0
396065,2,5,13,83,0.4066,0.40671,0
395454,1,15,4,83,0.40661,0.40661,0
395453,2,14,4,83,0.40661,0.40671,0
396202,1,4,15,83,0.40661,0.40661,0
396133,2,4,14,83,0.40661,0.40671,0
395386,1,16,3,83,0.40661,0.40661,0
395385,2,15,3,83,0.40661,0.4067,0
396270,1,3,16,83,0.40661,0.40661,0
396201,2,3,15,83,0.40661,0.4067,0
395318,1,17,2,83,0.40662,0.40662,0
395317,2,16,2,83,0.40662,0.4067,0
396338,1,2,17,83,0.40662,0.40662,0
396269,2,2,16,83,0.40662,0.4067,0
396404,1,68,17,83,0.40662,0.40662,0
392187,2,60,25,82,0.40662,0.4067,0
107751,1,42,43,22,0.40662,0.40662,0
107682,2,42,42,22,0.40662,0.40673,0
107615,1,44,41,22,0.40662,0.40662,0
107614,2,43,41,22,0.40662,0.40673,0
107819,1,41,44,22,0.40662,0.40662,0
107750,2,41,43,22,0.40662,0.40673,0
395250,1,18,1,83,0.40663,0.40663,0
395249,2,17,1,83,0.40663,0.4067,0
399804,1,18,67,83,0.40663,0.40663,0
399803,2,17,67,83,0.40663,0.4067,0
396406,1,1,18,83,0.40663,0.40663,0
396337,2,1,17,83,0.40663,0.4067,0
396472,1,67,18,83,0.40663,0.40663,0
396403,2,67,17,83,0.40663,0.4067,0
110474,1,5,14,23,0.40663,0.40663,0
105169,2,13,6,22,0.40663,0.40668,0
109862,1,14,5,23,0.40663,0.40663,0
109861,2,13,5,23,0.40663,0.40669,0
107547,1,45,40,22,0.40663,0.40663,0
107546,2,44,40,22,0.40663,0.40672,0
107887,1,40,45,22,0.40663,0.40663,0
107818,2,40,44,22,0.40663,0.40672,0
399736,1,19,66,83,0.40663,0.40663,0
399735,2,18,66,83,0.40663,0.40669,0
396474,1,0,19,83,0.40663,0.40663,0
396405,2,0,18,83,0.40663,0.40669,0
396540,1,66,19,83,0.40663,0.40663,0
396471,2,66,18,83,0.40663,0.40669,0
29468,1,5,13,6,0.40663,0.40663,0
24707,2,5,13,5,0.40663,0.40695,0
105168,1,12,6,22,0.40663,0.40663,0
105645,2,6,13,22,0.40663,0.40668,0
105576,1,6,12,22,0.40663,0.40663,0
105577,2,7,12,22,0.40663,0.40667,0
107479,1,46,39,22,0.40664,0.40664,0
107478,2,45,39,22,0.40664,0.40672,0
107955,1,39,46,22,0.40664,0.40664,0
107886,2,39,45,22,0.40664,0.40672,0
106934,1,53,31,22,0.40664,0.40664,0
107003,2,53,32,22,0.40664,0.40673,0
399668,1,20,65,83,0.40664,0.40664,0
399667,2,19,65,83,0.40664,0.40669,0
396608,1,65,20,83,0.40664,0.40664,0
396539,2,65,19,83,0.40664,0.40669,0
109521,1,18,0,23,0.40664,0.40664,0
109590,2,18,1,23,0.40664,0.40669,0
114075,1,18,66,23,0.40664,0.40664,0
108431,2,32,53,22,0.40664,0.40673,0
115575,1,0,19,24,0.40664,0.40664,0
110746,2,1,18,23,0.40664,0.40669,0
115641,1,66,19,24,0.40664,0.40664,0
111695,2,53,31,23,0.40664,0.40674,0
118837,1,19,66,24,0.40664,0.40664,0
114076,2,19,66,23,0.40664,0.40671,0
399600,1,21,64,83,0.40664,0.40664,0
399599,2,20,64,83,0.40664,0.40669,0
396676,1,64,21,83,0.40664,0.40664,0
396607,2,64,20,83,0.40664,0.40669,0
105236,1,11,7,22,0.40664,0.40664,0
105237,2,12,7,22,0.40664,0.40667,0
105508,1,7,11,22,0.40664,0.40664,0
105509,2,8,11,22,0.40664,0.40666,0
399532,1,22,63,83,0.40664,0.40664,0
399531,2,21,63,83,0.40664,0.40669,0
396744,1,63,22,83,0.40664,0.40664,0
396675,2,63,21,83,0.40664,0.40669,0
110542,1,4,15,23,0.40664,0.40664,0
110473,2,4,14,23,0.40664,0.40668,0
109794,1,15,4,23,0.40664,0.40664,0
109793,2,14,4,23,0.40664,0.40668,0
107411,1,47,38,22,0.40664,0.40664,0
107410,2,46,38,22,0.40664,0.40672,0
108023,1,38,47,22,0.40664,0.40664,0
107954,2,38,46,22,0.40664,0.40672,0
396812,1,62,23,83,0.40664,0.40664,0
396743,2,62,22,83,0.40664,0.40669,0
399464,1,23,62,83,0.40664,0.40664,0
399463,2,22,62,83,0.40664,0.40669,0
111287,1,59,25,23,0.40664,0.40664,0
116048,2,59,25,24,0.40664,0.40673,0
396948,1,60,25,83,0.40665,0.40665,0
396879,2,60,24,83,0.40665,0.4067,0
392186,1,59,25,82,0.40665,0.40665,0
399327,2,24,60,83,0.40665,0.4067,0
394498,1,25,59,82,0.40665,0.40665,0
387766,2,55,30,81,0.40665,0.40669,0
396880,1,61,24,83,0.40665,0.40665,0
396811,2,61,23,83,0.40665,0.4067,0
399396,1,24,61,83,0.40665,0.40665,0
399395,2,23,61,83,0.40665,0.4067,0
105304,1,10,8,22,0.40665,0.40665,0
105305,2,11,8,22,0.40665,0.40666,0
105440,1,8,10,22,0.40665,0.40665,0
105441,2,9,10,22,0.40665,0.40665,0
105372,1,9,9,22,0.40665,0.40665,0
105373,2,10,9,22,0.40665,0.40665,0
111696,1,54,31,23,0.40665,0.40665,0
111356,2,59,26,23,0.40665,0.40672,0
113260,1,31,54,23,0.40665,0.40665,0
113600,2,26,59,23,0.40665,0.40672,0
110677,1,1,17,23,0.40665,0.40665,0
110678,2,2,17,23,0.40665,0.40668,0
110743,1,67,17,23,0.40665,0.40665,0
110812,2,67,18,23,0.40665,0.40669,0
109589,1,17,1,23,0.40665,0.40665,0
109658,2,17,2,23,0.40665,0.40668,0
114143,1,17,67,23,0.40665,0.40665,0
114144,2,18,67,23,0.40665,0.40669,0
115709,1,65,20,24,0.40665,0.40665,0
115640,2,65,19,24,0.40665,0.4067,0
118769,1,20,65,24,0.40665,0.40665,0
118768,2,19,65,24,0.40665,0.4067,0
107002,1,52,32,22,0.40665,0.40665,0
107071,2,52,33,22,0.40665,0.40671,0
108362,1,32,52,22,0.40665,0.40665,0
108363,2,33,52,22,0.40665,0.40671,0
116049,1,60,25,24,0.40665,0.40665,0
115980,2,60,24,24,0.40665,0.40671,0
118429,1,25,60,24,0.40665,0.40665,0
118428,2,24,60,24,0.40665,0.40671,0
107343,1,48,37,22,0.40666,0.40666,0
107342,2,47,37,22,0.40666,0.40671,0
108091,1,37,48,22,0.40666,0.40666,0
108022,2,37,47,22,0.40666,0.40671,0
392254,1,58,26,82,0.40666,0.40666,0
392255,2,59,26,82,0.40666,0.40669,0
394430,1,26,58,82,0.40666,0.40666,0
394499,2,26,59,82,0.40666,0.40669,0
355186,1,43,41,74,0.40666,0.40666,0
394226,2,29,55,82,0.40666,0.40669,0
111355,1,58,26,23,0.40666,0.40666,0
111627,2,54,30,23,0.40666,0.40672,0
113531,1,26,58,23,0.40666,0.40666,0
113259,2,30,54,23,0.40666,0.40672,0
