"ttkVertexScalarField","CriticalType","Coordinates:0","Coordinates:1","Coordinates:2","Persistence","PairType","Points:0","Points:1","Points:2"
407,0,62,5,0,1.5,-0.5,0,0,0
23663,3,65,66,4,1,0,0,1,0
4283,0,5,62,0,0.37594,0,0,0,0
2099,1,29,30,0,0.37594,0,0,0.37594,0
533639,0,62,5,112,0.40666,0,0,0,0
534745,1,64,21,112,0.40666,0,0,0.40666,0
537515,0,5,62,112,0.37129,0,0,0,0
496487,1,32,19,104,0.37129,0,0,0.37129,0
528056,0,68,62,110,0.28782,0,0.11881,0.11881,0
15458,1,2,17,3,0.28782,0,0.11881,0.40663,0
528464,0,62,68,110,0.11242,0,0.11881,0.11881,0
523498,1,64,65,109,0.11242,0,0.11881,0.23123,0
4415,0,68,63,0,0.22283,0,0.187,0.187,0
3380,1,68,48,0,0.22283,0,0.187,0.40983,0
4755,0,63,68,0,0.16097,0,0.187,0.187,0
4620,1,66,66,0,0.16097,0,0.187,0.34797,0
14288,0,5,0,3,0.20699,0,0.19964,0.19964,0
105100,1,13,5,22,0.20699,0,0.19964,0.40662,0
14628,0,0,5,3,0.095079,0,0.19964,0.19964,0
19254,1,3,3,4,0.095079,0,0.19964,0.29472,0
542758,0,4,0,114,0.17072,0,0.23628,0.23628,0
543927,1,0,17,114,0.17072,0,0.23628,0.407,0
543030,0,0,4,114,0.12083,0,0.23628,0.23628,0
542893,1,1,2,114,0.12083,0,0.23628,0.35712,0
165444,0,51,51,34,0.13615,0,0.27047,0.27047,0
107683,1,43,42,22,0.13615,0,0.27047,0.40662,0
429750,0,18,18,90,0.057469,0,0.31381,0.31381,0
497302,1,19,31,104,0.057469,0,0.31381,0.37127,0
274028,0,29,38,57,0.07497,0,0.33165,0.33165,0
399872,1,17,68,83,0.07497,0,0.33165,0.40662,0
273416,0,38,29,57,0.051912,0,0.33165,0.33165,0
264094,1,31,32,55,0.051912,0,0.33165,0.38356,0
542771,1,17,0,114,0.073305,1,0.407,0.407,0
543034,2,4,4,114,0.073305,1,0.407,0.48031,0
4740,1,48,68,0,0.14669,1,0.40983,0.40983,0
4410,2,63,63,0,0.14669,1,0.40983,0.55652,0
28290,2,0,65,5,0.081261,2,0.41631,0.41631,0
249952,3,34,34,52,0.081261,2,0.41631,0.49757,0
359352,2,0,33,75,0.1173,2,0.42645,0.42645,0
386970,3,18,19,81,0.1173,2,0.42645,0.54375,0
330469,2,28,28,69,0.06674,2,0.43932,0.43932,0
292731,3,33,33,61,0.06674,2,0.43932,0.50606,0
94309,2,55,55,19,0.042531,2,0.45823,0.45823,0
122595,3,51,51,25,0.042531,2,0.45823,0.50076,0
42848,1,68,68,8,0.2536,1,0.56852,0.56852,0
28289,2,68,64,5,0.2536,1,0.56852,0.82212,0
509427,1,0,0,107,0.16602,1,0.60926,0.60926,0
518952,2,3,0,109,0.16602,1,0.60926,0.77528,0
519156,2,0,3,109,0.097013,2,0.77528,0.77528,0
519089,3,2,2,109,0.097013,2,0.77528,0.87229,0
28561,2,64,68,5,1.0889,0.5,0.82212,0.82212,0
23663,3,65,66,4,0.17788,2,0.82212,1,0
