agent,trial,run,prompt,api,time,total input,total output,cost (usd)
claude,isocontours,0,0,False,81.1966,543239,6254,0.47202279999999996
claude,isocontours,0,1,False,74.8872,418803,5437,0.2936780499999999
claude,isocontours,0,2,False,81.1135,515447,5877,0.3248913
claude,contour_tree,0,0,False,117.246,993783,6366,0.5238264
claude,contour_tree,0,1,False,93.6013,872935,4810,0.4631602999999999
claude,contour_tree,0,2,False,198.47,1681590,11776,0.8752963500000001
claude,vector_critical_point_tracking,0,0,False,107.603,387754,8928,0.30805305000000005
claude,vector_critical_point_tracking,0,1,False,201.728,766284,15409,0.5523214999999999
claude,vector_critical_point_tracking,0,2,False,171.829,927220,11936,0.5569121
claude,scalar_critical_point_tracking,0,0,False,809.92,6005302,38010,2.8215637499999997
claude,scalar_critical_point_tracking,0,1,False,552.827,9468403,37112,4.05554835
claude,scalar_critical_point_tracking,0,2,False,370.952,2364787,18689,1.1898094
claude,Morse-Smale segmentation,0,0,False,153.766,1328438,9450,0.6798045500000001
claude,Morse-Smale segmentation,0,1,False,95.8435,885541,6824,0.47724435
claude,Morse-Smale segmentation,0,2,False,160.188,1672567,10769,0.9128655
claude,hyperLIC,0,0,False,180.931,889107,14121,0.5674383
claude,hyperLIC,0,1,False,149.193,863640,10213,0.49888885
claude,hyperLIC,0,2,False,129.781,742614,10463,0.49250995000000003
claude,asymmetric_tensor,0,0,False,240.713,726867,12771,0.7664814999999999
claude,asymmetric_tensor,0,1,False,141.806,486172,10500,0.3851162
claude,asymmetric_tensor,0,2,False,149.417,547548,12294,0.41670594999999994
claude,isocontours,0,0,True,69.6665,506508,5406,0.43556934999999997
claude,isocontours,0,1,True,74.2048,432484,5053,0.31224040000000003
claude,isocontours,0,2,True,73.7138,527711,4790,0.33807634999999997
claude,contour_tree,0,0,True,53.8692,509816,4069,0.3322365499999999
claude,contour_tree,0,1,True,140.564,305382,3890,0.22676365000000004
claude,contour_tree,0,2,True,53.6846,605360,3990,0.35835715
claude,vector_critical_point_tracking,0,0,True,99.5721,614585,5252,0.3669138
claude,vector_critical_point_tracking,0,1,True,63.8655,404226,4361,0.26340214999999995
claude,vector_critical_point_tracking,0,2,True,171.305,640450,4761,0.3727559
claude,scalar_critical_point_tracking,0,0,True,344.026,296091,3448,0.19908264999999997
claude,scalar_critical_point_tracking,0,1,True,89.126,604462,5522,0.35710335
claude,scalar_critical_point_tracking,0,2,True,236.234,1193573,5613,0.5346376
claude,Morse-Smale segmentation,0,0,True,52.2377,500369,4078,0.32695684999999997
claude,Morse-Smale segmentation,0,1,True,48.8534,409168,4051,0.27311615
claude,Morse-Smale segmentation,0,2,True,58.1233,501888,3973,0.3207468
claude,hyperLIC,0,0,True,91.4912,677622,4644,0.37382624999999997
claude,hyperLIC,0,1,True,51.581,364618,3641,0.2511136
claude,hyperLIC,0,2,True,73.9233,592447,3920,0.33169399999999993
claude,asymmetric_tensor,0,0,True,54.1636,600344,3861,0.3383671
claude,asymmetric_tensor,0,1,True,51.9548,399068,3691,0.26162885
claude,asymmetric_tensor,0,2,True,65.6531,595315,4009,0.33602695
codex,isocontours,0,0,False,60.9678,422664,4330,0.2070276
codex,isocontours,0,1,False,89.5836,698856,5096,0.29051459999999996
codex,isocontours,0,2,False,60.9388,338793,4419,0.1907634
codex,contour_tree,0,0,False,81.7607,756387,5160,0.3243492
codex,contour_tree,0,1,False,93.5805,789640,5543,0.30939320000000003
codex,contour_tree,0,2,False,152.203,1250958,8126,0.463341
codex,vector_critical_point_tracking,0,0,False,89.9997,460198,6812,0.24226640000000002
codex,vector_critical_point_tracking,0,1,False,130.188,447966,8975,0.24790740000000003
codex,vector_critical_point_tracking,0,2,False,56.3604,196062,4698,0.1457598
codex,scalar_critical_point_tracking,0,0,False,100.382,1341995,6864,0.4870162
codex,scalar_critical_point_tracking,0,1,False,64.0264,224717,4645,0.1479676
codex,scalar_critical_point_tracking,0,2,False,82.7994,694925,5700,0.31261479999999997
codex,Morse-Smale segmentation,0,0,False,92.1145,978721,6462,0.35688559999999997
codex,Morse-Smale segmentation,0,1,False,161.207,1635431,11987,0.577429
codex,Morse-Smale segmentation,0,2,False,78.414,575394,5686,0.2596992
codex,hyperLIC,0,0,False,48.4213,206632,3943,0.1258016
codex,hyperLIC,0,1,False,55.9375,387635,4064,0.1974166
codex,hyperLIC,0,2,False,66.3824,446335,5044,0.2144204
codex,asymmetric_tensor,0,0,False,80.7468,725203,5689,0.33400759999999996
codex,asymmetric_tensor,0,1,False,70.7306,361209,6173,0.20537040000000004
codex,asymmetric_tensor,0,2,False,90.7675,489059,6416,0.2392852
codex,isocontours,0,0,True,32.5336,281007,2470,0.16618439999999998
codex,isocontours,0,1,True,35.2903,244538,2839,0.15426820000000002
codex,isocontours,0,2,True,36.6862,398270,2336,0.1948042
codex,contour_tree,0,0,True,290.864,1716895,7336,0.5285534000000001
codex,contour_tree,0,1,True,174.008,1101875,6047,0.39616
codex,contour_tree,0,2,True,239.849,1418502,5729,0.5599434
codex,vector_critical_point_tracking,0,0,True,58.3841,463640,3230,0.2342968
codex,vector_critical_point_tracking,0,1,True,62.6966,612175,3499,0.26461640000000003
codex,vector_critical_point_tracking,0,2,True,44.7316,247701,3156,0.1481406
codex,scalar_critical_point_tracking,0,0,True,101.231,867978,4272,0.361854
codex,scalar_critical_point_tracking,0,1,True,118.163,1232537,4048,0.446287
codex,scalar_critical_point_tracking,0,2,True,46.4422,484589,3081,0.26496759999999997
codex,Morse-Smale segmentation,0,0,True,41.071,291023,3125,0.1631938
codex,Morse-Smale segmentation,0,1,True,36.7808,258659,3150,0.152944
codex,Morse-Smale segmentation,0,2,True,41.0945,287275,3261,0.1649564
codex,hyperLIC,0,0,True,31.1259,324617,1664,0.1664422
codex,hyperLIC,0,1,True,38.1423,297456,1802,0.1489428
codex,hyperLIC,0,2,True,38.9683,397604,2671,0.2087314
codex,asymmetric_tensor,0,0,True,53.1546,670885,3026,0.28325540000000005
codex,asymmetric_tensor,0,1,True,35.0141,390049,2430,0.2047406
codex,asymmetric_tensor,0,2,True,38.539,318580,2953,0.16460539999999999
claude,isocontours,1,0,False,69.6487,582647,5139,0.5046577000000001
claude,isocontours,1,1,False,129.826,1074235,9150,0.5938875
claude,isocontours,1,2,False,99.6353,600017,6711,0.358837
claude,contour_tree,1,0,False,135.961,1090310,6454,0.5636268
