time,x,y,persistence,emd_match_next
1,62.0,2.0,2.0,204
1,113.0,2.0,2.0,3
1,146.0,3.0,1.0,209
1,100.0,4.0,2.0,197
1,117.0,4.0,1.0,7
1,128.0,4.0,1.0,5
1,133.0,4.0,1.0,4
1,174.0,3.0,2.0,217
1,216.0,4.0,2.0,9
1,221.0,4.0,2.0,1785
1,82.0,5.0,2.0,245
1,123.0,7.0,1.0,986
1,133.0,8.0,2.0,11
1,173.0,7.0,3.0,239
1,240.0,8.0,1.0,1001
1,111.0,8.0,2.0,15
1,135.0,9.0,2.0,8
1,155.0,9.0,2.0,996
1,122.0,10.0,1.0,16
1,219.0,11.0,2.0,246
1,240.0,11.0,1.0,242
1,107.0,10.0,3.0,21
1,120.0,12.0,1.0,1539
1,8.0,13.0,2.0,14
1,113.0,13.0,4.0,23
1,18.0,12.0,25.0,256
1,145.0,15.0,1.0,253
1,50.0,17.0,2.0,22
1,1.0,18.0,2.0,1017
1,8.0,17.0,5.0,1534
1,67.0,18.0,1.0,2095
1,160.0,18.0,1.0,300
1,109.0,19.0,8.0,27
1,141.0,20.0,2.0,25
1,83.0,22.0,2.0,1544
1,106.0,22.0,1.0,29
1,21.0,21.0,6.0,284
1,39.0,24.0,2.0,313
1,81.0,24.0,3.0,32
1,83.0,26.0,2.0,1052
1,31.0,24.0,15.0,269
1,18.0,29.0,42.0,358
1,59.0,29.0,21.0,1056
1,9.0,33.0,9.0,1055
1,49.0,34.0,3.0,375
1,54.0,34.0,6.0,369
1,75.0,40.0,1.0,414
1,72.0,42.0,1.0,1579
1,83.0,41.0,5.0,1804
1,62.0,43.0,2.0,449
1,157.0,43.0,3.0,39
1,17.0,44.0,3.0,426
1,3.0,48.0,1.0,425
1,51.0,44.0,24.0,454
1,47.0,50.0,1.0,1119
1,48.0,51.0,2.0,469
1,16.0,56.0,1.0,1118
1,40.0,56.0,11.0,43
1,118.0,60.0,2.0,502
1,42.0,61.0,3.0,45
1,59.0,64.0,2.0,1815
1,177.0,63.0,3.0,1115
1,211.0,64.0,1.0,46
1,17.0,64.0,5.0,505
1,53.0,63.0,25.0,1818
1,93.0,66.0,2.0,506
1,183.0,66.0,3.0,1614
1,233.0,67.0,2.0,49
1,174.0,68.0,2.0,1169
1,227.0,69.0,1.0,2113
1,3.0,70.0,1.0,507
1,173.0,71.0,2.0,1619
1,167.0,73.0,2.0,544
1,9.0,74.0,3.0,1171
1,169.0,74.0,1.0,2495
1,29.0,64.0,50.0,2430
1,20.0,74.0,36.0,1980
1,5.0,77.0,2.0,1824
1,7.0,78.0,2.0,2226
1,35.0,77.0,3.0,1175
1,5.0,82.0,3.0,56
1,15.0,82.0,30.0,1985
1,212.0,85.0,2.0,645
1,15.0,87.0,3.0,604
1,207.0,92.0,2.0,66
1,48.0,95.0,4.0,2231
1,121.0,97.0,2.0,654
1,177.0,97.0,1.0,652
1,102.0,100.0,2.0,1994
1,159.0,100.0,2.0,659
1,176.0,100.0,2.0,1266
1,28.0,102.0,2.0,2310
1,177.0,102.0,1.0,1267
1,139.0,101.0,5.0,74
1,174.0,103.0,2.0,671
1,172.0,102.0,3.0,73
1,23.0,105.0,11.0,2308
1,175.0,106.0,1.0,1850
1,158.0,107.0,1.0,693
1,173.0,106.0,2.0,81
1,171.0,108.0,1.0,81
1,80.0,109.0,1.0,705
1,251.0,110.0,1.0,83
1,83.0,110.0,2.0,698
1,121.0,111.0,1.0,706
1,123.0,112.0,3.0,710
1,135.0,108.0,8.0,82
1,117.0,114.0,3.0,91
1,121.0,114.0,2.0,92
1,118.0,116.0,2.0,722
1,73.0,105.0,50.0,2232
1,59.0,115.0,25.0,1858
1,168.0,119.0,1.0,736
1,76.0,120.0,2.0,98
1,98.0,121.0,1.0,1308
1,91.0,120.0,4.0,101
1,50.0,121.0,8.0,99
1,251.0,123.0,1.0,2546
1,80.0,124.0,2.0,1326
1,108.0,118.0,16.0,1856
1,86.0,125.0,2.0,1311
1,45.0,126.0,2.0,749
1,131.0,126.0,1.0,758
1,148.0,126.0,2.0,107
1,58.0,130.0,1.0,110
1,63.0,133.0,1.0,1348
1,77.0,131.0,17.0,1328
1,109.0,133.0,3.0,119
1,112.0,133.0,1.0,116
1,120.0,133.0,2.0,790
1,170.0,134.0,1.0,1349
1,80.0,135.0,1.0,779
1,88.0,134.0,23.0,2145
1,158.0,138.0,2.0,801
1,86.0,139.0,2.0,2439
1,90.0,139.0,1.0,1332
1,104.0,139.0,1.0,806
1,159.0,139.0,1.0,125
1,99.0,137.0,26.0,780
1,120.0,139.0,3.0,123
1,137.0,140.0,1.0,1340
1,101.0,141.0,4.0,805
1,24.0,138.0,3.0,1345
1,94.0,144.0,1.0,804
1,170.0,144.0,2.0,1354
1,48.0,147.0,1.0,2315
1,54.0,148.0,1.0,1688
1,19.0,149.0,1.0,829
1,56.0,149.0,1.0,819
1,120.0,150.0,1.0,1373
1,65.0,151.0,1.0,2025
1,14.0,152.0,1.0,838
1,159.0,152.0,1.0,827
1,53.0,153.0,1.0,129
1,99.0,153.0,1.0,2442
1,36.0,155.0,3.0,1893
1,107.0,150.0,39.0,1365
1,92.0,159.0,2.0,844
1,113.0,160.0,1.0,839
1,77.0,161.0,1.0,836
1,87.0,162.0,1.0,844
1,12.0,163.0,1.0,2161
1,213.0,161.0,2.0,2038
1,59.0,142.0,50.0,2024
1,62.0,165.0,1.0,137
1,13.0,168.0,1.0,1406
1,84.0,168.0,1.0,145
1,63.0,169.0,1.0,144
1,142.0,169.0,1.0,850
1,22.0,170.0,1.0,1395
1,14.0,172.0,2.0,2045
1,44.0,173.0,1.0,1402
1,74.0,169.0,40.0,1707
1,92.0,174.0,1.0,874
1,47.0,175.0,1.0,2324
1,49.0,175.0,1.0,2324
1,56.0,168.0,48.0,143
1,84.0,176.0,1.0,879
1,92.0,176.0,1.0,873
1,45.0,177.0,1.0,891
1,88.0,177.0,2.0,879
1,53.0,179.0,1.0,871
1,55.0,179.0,1.0,872
1,68.0,179.0,1.0,1706
1,73.0,182.0,1.0,892
1,50.0,180.0,4.0,887
1,120.0,182.0,2.0,157
1,53.0,184.0,1.0,1432
1,29.0,186.0,1.0,158
1,47.0,186.0,1.0,162
1,33.0,187.0,1.0,164
1,37.0,187.0,29.0,1726
1,122.0,191.0,1.0,907
1,189.0,191.0,1.0,1460
1,87.0,193.0,1.0,1908
1,89.0,194.0,1.0,1443
1,84.0,195.0,1.0,908
1,86.0,196.0,1.0,1437
1,24.0,197.0,1.0,163
1,77.0,197.0,1.0,2508
1,126.0,195.0,16.0,921
1,75.0,198.0,1.0,918
1,21.0,199.0,1.0,1454
1,34.0,199.0,1.0,1448
1,45.0,200.0,1.0,1457
1,20.0,202.0,1.0,165
1,94.0,202.0,1.0,2176
1,129.0,204.0,1.0,2810
1,22.0,207.0,1.0,163
1,34.0,208.0,1.0,911
1,74.0,208.0,2.0,933
1,89.0,209.0,1.0,2273
1,91.0,210.0,1.0,955
1,3.0,212.0,1.0,2181
1,8.0,212.0,1.0,1469
1,21.0,212.0,1.0,167
1,111.0,212.0,1.0,2067
1,4.0,213.0,1.0,172
1,62.0,213.0,2.0,936
1,59.0,214.0,1.0,171
1,15.0,217.0,2.0,930
1,21.0,215.0,22.0,168
1,23.0,217.0,2.0,1481
1,82.0,218.0,1.0,2518
1,196.0,218.0,1.0,2729
1,15.0,220.0,1.0,930
1,18.0,220.0,2.0,937
1,10.0,221.0,1.0,176
1,87.0,203.0,50.0,1437
1,16.0,222.0,2.0,173
1,83.0,222.0,2.0,2518
1,78.0,224.0,3.0,2193
1,14.0,227.0,1.0,949
1,18.0,228.0,1.0,953
1,54.0,228.0,1.0,946
1,23.0,230.0,1.0,1497
1,104.0,230.0,1.0,961
1,33.0,232.0,1.0,1934
1,41.0,232.0,1.0,2712
1,35.0,234.0,1.0,965
1,39.0,234.0,1.0,1501
1,57.0,233.0,25.0,2074
1,61.0,236.0,1.0,184
1,31.0,238.0,2.0,967
1,6.0,239.0,4.0,177
1,27.0,239.0,4.0,187
1,57.0,240.0,1.0,189
1,63.0,241.0,1.0,971
1,67.0,241.0,1.0,2476
1,21.0,242.0,1.0,188
1,75.0,1.0,2.0,0
1,119.0,6.0,2.0,208
1,160.0,1.0,1.0,201
1,207.0,3.0,6.0,998
1,104.0,3.0,4.0,1528
1,112.0,1.0,1.0,2
1,78.0,7.0,14.0,279
1,90.0,2.0,4.0,207
1,161.0,3.0,1.0,210
1,173.0,2.0,1.0,198
1,42.0,3.0,1.0,206
1,184.0,8.0,3.0,215
1,82.0,11.0,7.0,1532
1,176.0,4.0,1.0,1786
1,16.0,6.0,1.0,1526
1,31.0,3.0,2.0,1780
1,40.0,6.0,1.0,214
1,53.0,6.0,5.0,228
1,58.0,6.0,1.0,1
1,4.0,8.0,1.0,225
1,44.0,5.0,9.0,989
1,96.0,6.0,13.0,12
1,115.0,9.0,1.0,13
1,184.0,5.0,3.0,202
1,237.0,1.0,13.0,211
1,21.0,7.0,1.0,233
1,99.0,7.0,3.0,6
1,117.0,7.0,1.0,230
1,148.0,7.0,2.0,1524
1,236.0,7.0,3.0,241
1,22.0,8.0,2.0,1006
1,60.0,8.0,1.0,1783
1,179.0,8.0,5.0,232
1,234.0,8.0,1.0,1002
1,13.0,9.0,1.0,226
1,27.0,9.0,4.0,216
1,36.0,10.0,3.0,1530
1,227.0,7.0,4.0,238
1,89.0,9.0,2.0,229
1,101.0,9.0,9.0,21
1,49.0,7.0,16.0,989
1,51.0,11.0,1.0,221
1,213.0,10.0,15.0,250
1,231.0,11.0,3.0,247
1,248.0,14.0,1.0,267
1,7.0,12.0,1.0,1004
1,89.0,12.0,4.0,18
1,92.0,12.0,6.0,252
1,151.0,12.0,1.0,17
1,166.0,11.0,7.0,236
1,205.0,13.0,3.0,265
1,210.0,13.0,1.0,1027
1,21.0,16.0,20.0,251
1,73.0,12.0,15.0,261
1,81.0,14.0,3.0,1016
1,94.0,13.0,1.0,1536
1,171.0,12.0,4.0,237
1,40.0,12.0,7.0,260
1,30.0,17.0,5.0,1541
1,42.0,14.0,1.0,1009
1,105.0,13.0,3.0,270
1,134.0,14.0,2.0,271
1,137.0,14.0,7.0,1018
1,162.0,15.0,1.0,1019
1,86.0,15.0,3.0,262
1,189.0,15.0,5.0,2093
1,4.0,17.0,1.0,224
1,56.0,16.0,1.0,2483
1,84.0,17.0,1.0,274
1,92.0,16.0,2.0,26
1,120.0,16.0,2.0,2484
1,131.0,15.0,16.0,272
1,181.0,13.0,14.0,199
1,193.0,17.0,1.0,1954
1,33.0,19.0,4.0,296
1,40.0,17.0,6.0,277
1,52.0,17.0,1.0,278
1,96.0,16.0,19.0,28
1,104.0,19.0,11.0,320
1,107.0,16.0,4.0,290
1,132.0,19.0,1.0,1025
1,157.0,15.0,10.0,254
1,41.0,20.0,1.0,1033
1,88.0,17.0,6.0,294
1,173.0,16.0,17.0,1538
1,249.0,19.0,14.0,1023
1,44.0,17.0,4.0,286
1,75.0,17.0,26.0,200
1,80.0,20.0,7.0,298
1,116.0,19.0,1.0,280
1,163.0,18.0,5.0,1542
1,201.0,12.0,49.0,264
1,19.0,20.0,1.0,268
1,44.0,20.0,2.0,1036
1,100.0,19.0,5.0,303
1,101.0,21.0,1.0,325
1,211.0,19.0,45.0,2426
1,15.0,20.0,8.0,1788
1,38.0,22.0,1.0,287
1,45.0,21.0,1.0,1037
1,93.0,22.0,5.0,30
1,148.0,20.0,17.0,1029
1,160.0,22.0,2.0,308
1,177.0,20.0,17.0,293
1,68.0,22.0,13.0,306
1,93.0,24.0,2.0,1053
1,124.0,22.0,1.0,327
1,130.0,22.0,4.0,332
1,157.0,22.0,49.0,307
1,169.0,21.0,35.0,295
1,232.0,24.0,1.0,2357
1,244.0,20.0,17.0,267
1,35.0,23.0,3.0,1035
1,73.0,22.0,12.0,299
1,109.0,23.0,1.0,1049
1,185.0,22.0,19.0,317
1,192.0,23.0,49.0,1042
1,120.0,26.0,1.0,339
1,245.0,23.0,13.0,310
1,8.0,23.0,23.0,324
1,16.0,25.0,1.0,302
1,98.0,25.0,4.0,349
1,124.0,24.0,5.0,327
1,206.0,24.0,49.0,1789
1,223.0,22.0,12.0,2358
1,221.0,27.0,4.0,2792
1,238.0,25.0,3.0,2213
1,17.0,26.0,2.0,1548
1,68.0,27.0,7.0,306
1,76.0,26.0,9.0,319
1,125.0,27.0,1.0,344
1,143.0,22.0,24.0,281
1,153.0,27.0,1.0,2361
1,220.0,15.0,49.0,276
1,189.0,27.0,2.0,1553
1,36.0,28.0,1.0,1549
1,27.0,39.0,49.0,342
1,53.0,29.0,1.0,40
1,68.0,30.0,6.0,348
1,108.0,27.0,30.0,1050
1,128.0,27.0,6.0,1054
1,136.0,27.0,2.0,328
1,164.0,30.0,1.0,356
1,168.0,28.0,1.0,2703
1,218.0,25.0,19.0,322
1,40.0,28.0,5.0,1048
1,73.0,28.0,6.0,331
1,128.0,29.0,1.0,1552
1,159.0,26.0,18.0,1046
1,166.0,24.0,21.0,1038
1,193.0,32.0,49.0,366
1,60.0,33.0,3.0,1072
1,91.0,32.0,9.0,1968
1,112.0,31.0,4.0,2215
1,136.0,24.0,11.0,314
1,167.0,31.0,7.0,356
1,253.0,30.0,5.0,347
1,33.0,31.0,1.0,359
1,46.0,32.0,1.0,1962
1,84.0,32.0,49.0,1080
1,34.0,32.0,1.0,360
1,36.0,30.0,2.0,1065
1,48.0,32.0,1.0,1051
1,98.0,31.0,3.0,1063
1,198.0,31.0,13.0,367
1,202.0,31.0,4.0,1559
1,102.0,33.0,13.0,385
1,227.0,25.0,47.0,311
1,249.0,30.0,16.0,357
1,180.0,27.0,49.0,1022
1,193.0,36.0,4.0,377
1,199.0,34.0,4.0,1076
1,68.0,35.0,2.0,433
1,118.0,34.0,9.0,1969
1,129.0,36.0,1.0,1073
1,129.0,33.0,21.0,372
1,161.0,34.0,17.0,380
1,207.0,30.0,22.0,1554
1,235.0,35.0,1.0,383
1,252.0,34.0,6.0,1561
1,144.0,29.0,24.0,1791
1,137.0,38.0,4.0,37
1,142.0,36.0,1.0,1081
1,163.0,36.0,4.0,390
1,205.0,35.0,15.0,381
1,207.0,39.0,9.0,402
1,216.0,33.0,30.0,1064
1,12.0,36.0,2.0,1075
1,45.0,38.0,5.0,393
1,19.0,40.0,2.0,38
1,50.0,37.0,4.0,396
1,67.0,39.0,1.0,1563
1,102.0,38.0,4.0,400
1,126.0,37.0,4.0,397
1,158.0,37.0,17.0,401
1,252.0,38.0,2.0,1078
1,30.0,52.0,46.0,1134
1,51.0,39.0,2.0,1565
1,93.0,39.0,3.0,405
1,114.0,38.0,36.0,1566
1,138.0,43.0,1.0,416
1,233.0,39.0,10.0,1570
1,243.0,34.0,19.0,1551
1,88.0,40.0,2.0,1575
1,93.0,49.0,49.0,464
1,101.0,40.0,5.0,1095
1,169.0,39.0,20.0,1088
1,189.0,40.0,13.0,457
1,204.0,42.0,7.0,1084
1,104.0,41.0,1.0,2217
1,126.0,41.0,3.0,2106
1,132.0,39.0,38.0,386
1,138.0,41.0,1.0,1568
1,218.0,41.0,3.0,403
1,238.0,39.0,31.0,1098
1,92.0,43.0,1.0,434
1,182.0,42.0,2.0,1097
1,215.0,41.0,10.0,418
1,220.0,43.0,1.0,429
1,248.0,42.0,2.0,411
1,252.0,42.0,2.0,419
1,30.0,43.0,1.0,2772
1,122.0,39.0,7.0,409
1,147.0,43.0,1.0,1099
1,224.0,43.0,2.0,1802
1,244.0,45.0,1.0,440
1,246.0,43.0,1.0,1970
1,71.0,38.0,25.0,370
1,93.0,44.0,1.0,1105
1,152.0,37.0,19.0,435
1,161.0,44.0,8.0,428
1,233.0,45.0,1.0,430
1,236.0,45.0,1.0,431
1,59.0,45.0,2.0,1805
1,65.0,45.0,1.0,1090
1,200.0,64.0,17.0,534
1,60.0,46.0,1.0,456
1,133.0,46.0,12.0,443
1,170.0,46.0,1.0,1109
1,186.0,30.0,44.0,345
1,215.0,47.0,5.0,446
1,240.0,49.0,1.0,442
1,164.0,48.0,1.0,437
1,243.0,42.0,7.0,1970
1,248.0,46.0,6.0,453
1,250.0,47.0,1.0,1581
1,67.0,48.0,3.0,1591
1,64.0,55.0,31.0,1145
1,75.0,49.0,1.0,451
1,78.0,56.0,6.0,2366
1,128.0,44.0,30.0,452
1,170.0,48.0,3.0,2487
1,53.0,49.0,1.0,460
1,218.0,48.0,3.0,41
1,251.0,51.0,1.0,1585
1,115.0,50.0,1.0,2626
1,151.0,50.0,1.0,1586
1,164.0,50.0,1.0,482
1,190.0,46.0,15.0,1100
1,209.0,45.0,17.0,423
1,80.0,52.0,4.0,477
1,113.0,52.0,1.0,470
1,217.0,53.0,1.0,41
1,232.0,51.0,8.0,438
1,246.0,55.0,2.0,486
1,70.0,55.0,22.0,1130
1,185.0,52.0,21.0,1587
1,245.0,53.0,1.0,1588
1,46.0,55.0,7.0,1125
1,55.0,53.0,21.0,474
1,124.0,54.0,1.0,1590
1,205.0,53.0,16.0,458
1,207.0,55.0,2.0,483
1,214.0,53.0,12.0,473
1,220.0,54.0,1.0,1120
1,57.0,56.0,4.0,509
1,103.0,56.0,1.0,490
1,127.0,53.0,31.0,480
1,176.0,50.0,49.0,2582
1,194.0,51.0,27.0,497
1,201.0,58.0,6.0,44
1,229.0,43.0,20.0,1576
1,60.0,56.0,1.0,509
1,106.0,56.0,1.0,490
1,160.0,56.0,1.0,481
1,167.0,56.0,3.0,1976
1,184.0,58.0,49.0,1132
1,210.0,56.0,1.0,484
1,29.0,57.0,9.0,1134
1,137.0,49.0,37.0,462
1,159.0,50.0,20.0,437
1,180.0,55.0,21.0,472
1,107.0,58.0,2.0,1137
1,108.0,59.0,1.0,1152
1,123.0,58.0,2.0,1131
1,126.0,58.0,18.0,1133
1,162.0,58.0,2.0,1135
1,214.0,60.0,1.0,546
