id_t1,id_t2,id_t3,transport_mass,distance_1_2,distance_2_3
1,1,1,0.08333333333333333,0.3510773149914305,0.38172368811295304
3,3,3,0.08333333333333333,0.35626684299051775,0.3664782093579767
4,4,4,0.08333333333333333,0.14845710554531658,0.1682744098385866
8,8,9,0.08333333333333333,0.12026386714115817,0.11232267247412818
9,9,8,0.08333333333333333,0.2465236275236852,0.23725324865082112
11,11,11,0.08333333333333333,0.003349333526204868,0.022214037041279507
12,12,12,0.08333333333333333,0.19518967411608934,0.2090125026349025
15,15,15,0.07500000000000005,0.5790135916817406,0.5628178342213854
16,16,16,0.08333333333333333,0.25938982408691946,0.322589415242765
22,20,21,0.08333333333333333,0.02516158065141949,0.029836640702114926
0,0,0,0.07142857142857142,0.32470672488534247,0.3139816178959475
2,2,2,0.05000000000000024,0.3876983694217561,0.3683848374719084
5,5,5,0.07142857142857142,0.09047822905583607,0.0899245384662169
6,6,6,0.07142857142857142,0.1469504081968016,0.14412612934020771
7,7,7,0.07142857142857142,0.10501382753103264,0.1047166442728238
10,10,10,0.07142857142857142,0.1586565551864897,0.08173209727095816
13,13,13,0.07142857142857142,0.15618973290093208,0.15972517750186926
19,17,17,0.07142857142857142,0.298876568778014,0.2642702661725064
20,18,19,0.07142857142857142,0.148272610446735,0.1450104697564133
21,19,20,0.07142857142857142,0.15090852077588077,0.15495441638972393
23,21,22,0.07142857142857142,0.22682262520621052,0.23416062245172206
25,23,24,0.07142857142857142,0.17598688768302964,0.17516231897989462
