from_step,from_point,to_step,to_point,transport_mass,distance
1,0,2,0,0.013888888888888888,0.0
1,1,2,1,0.013888888888888888,0.0
1,2,2,2,0.013888888888888888,0.0
1,3,2,3,0.013888888888888888,0.0
1,4,2,4,0.013888888888888888,0.0
1,5,2,5,0.013888888888888888,0.0
1,6,2,6,0.013888888888888888,0.0
1,7,2,7,0.013888888888888888,0.0
1,8,2,8,0.013888888888888888,0.0
1,9,2,9,0.013888888888888888,0.0
1,10,2,10,0.013888888888888888,0.0
1,11,2,11,0.013888888888888888,0.0
1,12,2,12,0.013888888888888888,0.0
1,13,2,13,0.013888888888888888,0.0
1,14,2,14,0.013888888888888888,0.0
1,15,2,15,0.013888888888888888,0.0
1,16,2,16,0.013888888888888888,0.0
1,17,2,17,0.013888888888888888,0.0
1,18,2,18,0.013888888888888888,0.0
1,19,2,19,0.013888888888888888,0.0
1,20,2,20,0.013888888888888888,0.0
1,21,2,21,0.013888888888888888,0.0
1,22,2,22,0.013888888888888888,0.0
1,23,2,23,0.013888888888888888,0.0
1,24,2,24,0.013888888888888888,0.0
1,25,2,25,0.013888888888888888,0.0
1,26,2,26,0.013888888888888888,0.0
1,27,2,27,0.013888888888888888,0.0
1,28,2,28,0.013888888888888888,0.0
1,29,2,29,0.013888888888888888,0.0
1,30,2,30,0.013888888888888888,0.0
1,31,2,31,0.013888888888888888,0.0
1,32,2,32,0.013888888888888888,0.0
1,33,2,33,0.013888888888888888,0.0
1,34,2,34,0.013888888888888888,0.0
1,35,2,35,0.013888888888888888,0.0
1,36,2,36,0.013888888888888888,0.0
1,37,2,37,0.013888888888888888,0.0
1,38,2,38,0.013888888888888888,0.0
1,39,2,39,0.013888888888888888,0.0
1,40,2,40,0.013888888888888888,0.0
1,41,2,41,0.013888888888888888,0.0
1,42,2,42,0.013888888888888888,0.0
1,43,2,43,0.013888888888888888,0.0
1,44,2,44,0.013888888888888888,0.0
1,45,2,45,0.013888888888888888,0.0
1,46,2,46,0.013888888888888888,0.3347373935588425
1,50,2,50,0.013888888888888888,0.1494091268714524
